date,adult_icu_crci_patients
2020-05-01,244
2020-05-02,236
2020-05-03,246
2020-05-04,243
2020-05-05,243
2020-05-06,240
2020-05-07,234
2020-05-08,230
2020-05-09,218
2020-05-10,211
2020-05-11,215
2020-05-12,211
2020-05-13,207
2020-05-14,201
2020-05-15,194
2020-05-16,196
2020-05-17,188
2020-05-18,190
2020-05-19,192
2020-05-20,185
2020-05-21,181
2020-05-22,176
2020-05-23,175
2020-05-24,176
2020-05-25,175
2020-05-26,172
2020-05-27,173
2020-05-28,163
2020-05-29,159
2020-05-30,155
2020-05-31,156
2020-06-01,161
2020-06-02,160
2020-06-03,158
2020-06-04,152
2020-06-05,149
2020-06-06,146
2020-06-07,142
2020-06-08,143
2020-06-09,141
2020-06-10,144
2020-06-11,145
2020-06-12,140
2020-06-13,136
2020-06-14,128
2020-06-15,129
2020-06-16,126
2020-06-17,118
2020-06-18,111
2020-06-19,108
2020-06-20,108
2020-06-21,114
2020-06-22,107
2020-06-23,106
2020-06-24,101
2020-06-25,96
2020-06-26,90
2020-06-27,85
2020-06-28,85
2020-06-29,81
2020-06-30,73
2020-07-01,69
2020-07-02,70
2020-07-03,70
2020-07-04,69
2020-07-05,67
2020-07-06,64
2020-07-07,61
2020-07-08,61
2020-07-09,58
2020-07-10,60
2020-07-11,57
2020-07-12,55
2020-07-13,53
2020-07-14,55
2020-07-15,55
2020-07-16,50
2020-07-17,52
2020-07-18,53
2020-07-19,53
2020-07-20,55
2020-07-21,55
2020-07-22,57
2020-07-23,55
2020-07-24,50
2020-07-25,47
2020-07-26,46
2020-07-27,47
2020-07-28,45
2020-07-29,42
2020-07-30,38
2020-07-31,40
2020-08-01,39
2020-08-02,41
2020-08-03,40
2020-08-04,40
2020-08-05,41
2020-08-06,38
2020-08-07,38
2020-08-08,38
2020-08-09,38
2020-08-10,37
2020-08-11,34
2020-08-12,33
2020-08-13,31
2020-08-14,28
2020-08-15,29
2020-08-16,30
2020-08-17,28
2020-08-18,26
2020-08-19,26
2020-08-20,27
2020-08-21,26
2020-08-22,25
2020-08-23,21
2020-08-24,23
2020-08-25,24
2020-08-26,24
2020-08-27,26
2020-08-28,25
2020-08-29,28
2020-08-30,30
2020-08-31,29
2020-09-01,29
2020-09-02,21
2020-09-03,20
2020-09-04,24
2020-09-05,23
2020-09-06,24
2020-09-07,24
2020-09-08,25
2020-09-09,24
2020-09-10,23
2020-09-11,25
2020-09-12,18
2020-09-13,20
2020-09-14,23
2020-09-15,25
2020-09-16,27
2020-09-17,27
2020-09-18,27
2020-09-19,28
2020-09-20,31
2020-09-21,30
2020-09-22,30
2020-09-23,30
2020-09-24,33
2020-09-25,31
2020-09-26,34
2020-09-27,34
2020-09-28,35
2020-09-29,34
2020-09-30,39
2020-10-01,41
2020-10-02,44
2020-10-03,47
2020-10-04,48
2020-10-05,48
2020-10-06,45
2020-10-07,48
2020-10-08,53
2020-10-09,52
2020-10-10,53
2020-10-11,57
2020-10-12,58
2020-10-13,65
2020-10-14,68
2020-10-15,67
2020-10-16,72
2020-10-17,77
2020-10-18,76
2020-10-19,74
2020-10-20,77
2020-10-21,76
2020-10-22,83
2020-10-23,87
2020-10-24,90
2020-10-25,86
2020-10-26,85
2020-10-27,82
2020-10-28,79
2020-10-29,85
2020-10-30,84
2020-10-31,82
2020-11-01,81
2020-11-02,85
2020-11-03,85
2020-11-04,85
2020-11-05,97
2020-11-06,97
2020-11-07,101
2020-11-08,99
2020-11-09,96
2020-11-10,93
2020-11-11,98
2020-11-12,107
2020-11-13,113
2020-11-14,115
2020-11-15,126
2020-11-16,133
2020-11-17,136
2020-11-18,136
2020-11-19,153
2020-11-20,150
2020-11-21,152
2020-11-22,153
2020-11-23,162
2020-11-24,165
2020-11-25,165
2020-11-26,156
2020-11-27,159
2020-11-28,160
2020-11-29,165
2020-11-30,177
2020-12-01,193
2020-12-02,190
2020-12-03,205
2020-12-04,216
2020-12-05,213
2020-12-06,216
2020-12-07,226
2020-12-08,232
2020-12-09,231
2020-12-10,240
2020-12-11,250
2020-12-12,252
2020-12-13,269
2020-12-14,262
2020-12-15,267
2020-12-16,275
2020-12-17,280
2020-12-18,277
2020-12-19,270
2020-12-20,276
2020-12-21,278
2020-12-22,287
2020-12-23,291
2020-12-24,297
2020-12-25,298
2020-12-26,307
2020-12-27,303
2020-12-28,314
2020-12-29,323
2020-12-30,341
2020-12-31,353
2021-01-01,353
2021-01-02,342
2021-01-03,350
2021-01-04,353
2021-01-05,373
2021-01-06,378
2021-01-07,379
2021-01-08,390
2021-01-09,406
2021-01-10,409
2021-01-11,411
2021-01-12,411
2021-01-13,408
2021-01-14,413
2021-01-15,412
2021-01-16,421
2021-01-17,415
2021-01-18,416
2021-01-19,420
2021-01-20,415
2021-01-21,408
2021-01-22,405
2021-01-23,417
2021-01-24,412
2021-01-25,417
2021-01-26,404
2021-01-27,400
2021-01-28,386
2021-01-29,391
2021-01-30,385
2021-01-31,384
2021-02-01,382
2021-02-02,368
2021-02-03,366
2021-02-04,355
2021-02-05,358
2021-02-06,363
2021-02-07,371
2021-02-08,369
2021-02-09,349
2021-02-10,340
2021-02-11,330
2021-02-12,327
2021-02-13,321
2021-02-14,328
2021-02-15,330
2021-02-16,331
2021-02-17,332
2021-02-18,315
2021-02-19,306
2021-02-20,293
2021-02-21,306
2021-02-22,309
2021-02-23,312
2021-02-24,315
2021-02-25,312
2021-02-26,317
2021-02-27,308
2021-02-28,321
2021-03-01,310
2021-03-02,310
2021-03-03,301
2021-03-04,306
2021-03-05,312
2021-03-06,312
2021-03-07,308
2021-03-08,318
2021-03-09,326
2021-03-10,309
2021-03-11,308
2021-03-12,314
2021-03-13,308
2021-03-14,316
2021-03-15,329
2021-03-16,325
2021-03-17,334
2021-03-18,341
2021-03-19,345
2021-03-20,334
2021-03-21,340
2021-03-22,331
2021-03-23,355
2021-03-24,362
2021-03-25,360
2021-03-26,384
2021-03-27,392
2021-03-28,392
2021-03-29,408
2021-03-30,411
2021-03-31,424
2021-04-01,433
2021-04-02,435
2021-04-03,451
2021-04-04,476
2021-04-05,493
2021-04-06,509
2021-04-07,503
2021-04-08,523
2021-04-09,549
2021-04-10,580
2021-04-11,597
2021-04-12,611
2021-04-13,617
2021-04-14,632
2021-04-15,649
2021-04-16,690
2021-04-17,715
2021-04-18,733
2021-04-19,748
2021-04-20,764
2021-04-21,782
2021-04-22,796
2021-04-23,808
2021-04-24,824
2021-04-25,841
2021-04-26,865
2021-04-27,862
2021-04-28,865
2021-04-29,872
2021-04-30,870
2021-05-01,889
2021-05-02,885
2021-05-03,879
2021-05-04,874
2021-05-05,870
2021-05-06,865
2021-05-07,844
2021-05-08,836
2021-05-09,833
2021-05-10,813
2021-05-11,790
2021-05-12,765
2021-05-13,767
2021-05-14,767
2021-05-15,774
2021-05-16,773
2021-05-17,769
2021-05-18,756
2021-05-19,727
2021-05-20,712
2021-05-21,707
2021-05-22,700
2021-05-23,686
2021-05-24,680
2021-05-25,683
2021-05-26,664
2021-05-27,643
2021-05-28,639
2021-05-29,620
2021-05-30,608
2021-05-31,612
2021-06-01,578
2021-06-02,570
2021-06-03,539
2021-06-04,515
2021-06-05,509
2021-06-06,503
2021-06-07,490
2021-06-08,475
2021-06-09,461
2021-06-10,446
2021-06-11,436
2021-06-12,419
2021-06-13,423
2021-06-14,406
2021-06-15,379
2021-06-16,373
2021-06-17,358
2021-06-18,348
2021-06-19,331
2021-06-20,330
2021-06-21,320
2021-06-22,312
2021-06-23,303
2021-06-24,297
2021-06-25,281
2021-06-26,281
2021-06-27,285
2021-06-28,283
2021-06-29,273
2021-06-30,269
2021-07-01,253
2021-07-02,251
2021-07-03,242
2021-07-04,234
2021-07-05,227
2021-07-06,225
2021-07-07,219
2021-07-08,214
2021-07-09,201
2021-07-10,196
2021-07-11,201
2021-07-12,203
2021-07-13,191
2021-07-14,179
2021-07-15,167
2021-07-16,157
2021-07-17,148
2021-07-18,148
2021-07-19,149
2021-07-20,148
2021-07-21,144
2021-07-22,139
2021-07-23,135
2021-07-24,131
2021-07-25,126
2021-07-26,130
2021-07-27,126
2021-07-28,121
2021-07-29,120
2021-07-30,116
2021-07-31,111
2021-08-01,109
2021-08-02,107
2021-08-03,105
2021-08-04,107
2021-08-05,109
2021-08-06,109
2021-08-07,110
2021-08-08,114
2021-08-09,112
2021-08-10,107
2021-08-11,106
2021-08-12,111
2021-08-13,110
2021-08-14,110
2021-08-15,115
2021-08-16,118
2021-08-17,126
2021-08-18,126
2021-08-19,129
2021-08-20,133
2021-08-21,128
2021-08-22,139
2021-08-23,149
2021-08-24,155
2021-08-25,160
2021-08-26,164
2021-08-27,157
2021-08-28,160
2021-08-29,156
2021-08-30,158
2021-08-31,156
2021-09-01,160
2021-09-02,161
2021-09-03,168
2021-09-04,171
2021-09-05,178
2021-09-06,186
2021-09-07,191
2021-09-08,192
2021-09-09,184
2021-09-10,175
2021-09-11,178
2021-09-12,182
2021-09-13,188
2021-09-14,190
2021-09-15,186
2021-09-16,189
2021-09-17,192
2021-09-18,184
2021-09-19,181
2021-09-20,176
2021-09-21,178
2021-09-22,185
2021-09-23,190
2021-09-24,190
2021-09-25,175
2021-09-26,174
2021-09-27,182
2021-09-28,177
2021-09-29,169
2021-09-30,168
2021-10-01,161
2021-10-02,160
2021-10-03,161
2021-10-04,158
2021-10-05,154
2021-10-06,155
2021-10-07,148
2021-10-08,152
2021-10-09,152
2021-10-10,151
2021-10-11,153
2021-10-12,147
2021-10-13,152
2021-10-14,158
2021-10-15,163
2021-10-16,163
2021-10-17,162
2021-10-18,166
2021-10-19,158
2021-10-20,158
2021-10-21,160
2021-10-22,148
2021-10-23,135
2021-10-24,136
2021-10-25,137
2021-10-26,137
2021-10-27,133
2021-10-28,132
2021-10-29,130
2021-10-30,132
2021-10-31,133
2021-11-01,133
2021-11-02,136
2021-11-03,136
2021-11-04,129
2021-11-05,129
2021-11-06,130
2021-11-07,126
2021-11-08,127
2021-11-09,134
2021-11-10,136
2021-11-11,132
2021-11-12,130
2021-11-13,130
2021-11-14,132
2021-11-15,140
2021-11-16,138
2021-11-17,131
2021-11-18,127
2021-11-19,126
2021-11-20,131
2021-11-21,133
2021-11-22,131
2021-11-23,133
2021-11-24,135
2021-11-25,135
2021-11-26,138
2021-11-27,132
2021-11-28,133
2021-11-29,146
2021-11-30,151
2021-12-01,153
2021-12-02,153
2021-12-03,144
2021-12-04,159
2021-12-05,163
2021-12-06,167
2021-12-07,164
2021-12-08,154
2021-12-09,154
2021-12-10,150
2021-12-11,144
2021-12-12,157
2021-12-13,160
2021-12-14,162
2021-12-15,154
2021-12-16,165
2021-12-17,157
2021-12-18,154
2021-12-19,159
2021-12-20,164
2021-12-21,165
2021-12-22,168
2021-12-23,168
2021-12-24,162
2021-12-25,164
2021-12-26,166
2021-12-27,174
2021-12-28,185
2021-12-29,187
2021-12-30,197
2021-12-31,203
2022-01-01,211
2022-01-02,221
2022-01-03,245
2022-01-04,263
2022-01-05,285
2022-01-06,314
2022-01-07,333
2022-01-08,377
2022-01-09,405
2022-01-10,429
2022-01-11,468
2022-01-12,497
2022-01-13,489
2022-01-14,515
2022-01-15,549
2022-01-16,570
2022-01-17,569
2022-01-18,572
2022-01-19,580
2022-01-20,583
2022-01-21,577
2022-01-22,591
2022-01-23,596
2022-01-24,605
2022-01-25,615
2022-01-26,598
2022-01-27,591
2022-01-28,598
2022-01-29,588
2022-01-30,578
2022-01-31,572
2022-02-01,558
2022-02-02,546
2022-02-03,533
2022-02-04,509
2022-02-05,494
2022-02-06,480
2022-02-07,479
2022-02-08,466
2022-02-09,444
2022-02-10,442
2022-02-11,429
2022-02-12,407
2022-02-13,395
2022-02-14,386
